user_id,question_id,difficulty,category,attempt_number,is_correct,time_ms,hints_used,uses_ollama,client
83,20,EXPERT,subquery,1,True,562413,0,False,api
15,65,INTERMEDIATE,select,1,False,438985,0,True,cli
142,55,BEGINNER,cte,1,True,65367,4,False,cli
57,6,INTERMEDIATE,aggregate,4,True,567450,0,False,api
175,24,BEGINNER,cte,5,True,390987,0,True,api
16,80,INTERMEDIATE,window,5,False,329907,3,False,ui
77,32,INTERMEDIATE,subquery,2,True,315334,4,False,ui
187,58,ADVANCED,cte,1,True,537300,3,True,ui
39,63,EXPERT,select,1,False,357144,5,False,api
128,75,EXPERT,select,1,False,497628,5,True,cli
188,40,EXPERT,aggregate,4,False,24158,3,False,cli
157,15,EXPERT,select,2,False,136123,5,True,ui
101,64,BEGINNER,join,4,False,576629,2,True,ui
141,36,EXPERT,aggregate,4,True,158752,0,True,cli
60,30,BEGINNER,window,5,True,276009,2,True,cli
108,69,ADVANCED,cte,5,False,132087,5,True,ui
200,72,EXPERT,window,4,False,109066,3,False,cli
49,9,INTERMEDIATE,window,2,True,357072,4,True,cli
1,73,INTERMEDIATE,cte,1,False,27239,0,True,api
97,20,ADVANCED,aggregate,5,False,497683,0,True,ui
120,62,EXPERT,aggregate,1,True,107651,5,False,api
68,62,INTERMEDIATE,cte,1,True,554418,2,True,api
140,4,ADVANCED,subquery,1,False,544078,2,True,ui
198,29,ADVANCED,subquery,2,True,251516,3,True,cli
133,64,ADVANCED,subquery,1,True,293491,3,False,cli
178,78,ADVANCED,window,3,False,84950,1,True,cli
121,26,ADVANCED,join,4,True,503264,5,False,api
22,16,EXPERT,subquery,2,False,187693,3,False,cli
185,51,EXPERT,window,1,True,178761,1,True,cli
152,60,INTERMEDIATE,cte,5,False,367928,1,True,cli
4,14,INTERMEDIATE,window,2,True,29853,2,True,ui
129,31,ADVANCED,aggregate,5,False,137940,0,False,ui
170,75,EXPERT,cte,2,True,549436,4,True,ui
199,24,BEGINNER,join,2,True,496993,4,True,api
16,42,EXPERT,select,5,True,261065,1,False,cli
198,13,EXPERT,cte,1,True,465279,2,True,api
71,58,EXPERT,cte,2,False,587192,1,False,cli
107,16,EXPERT,window,3,True,252828,3,True,cli
172,39,BEGINNER,join,3,True,265902,1,False,cli
192,13,EXPERT,window,2,True,169809,5,False,api
104,44,EXPERT,join,3,False,97172,5,False,cli
87,71,EXPERT,window,1,False,348100,4,False,api
17,15,INTERMEDIATE,select,1,False,285629,0,True,ui
194,17,EXPERT,subquery,3,False,157123,4,False,api
84,12,ADVANCED,select,2,False,76431,2,True,api
23,34,BEGINNER,cte,2,True,277796,0,False,cli
87,71,EXPERT,aggregate,5,True,45804,4,True,cli
42,34,BEGINNER,join,2,False,320321,4,True,ui
115,65,INTERMEDIATE,aggregate,3,True,263114,0,True,cli
188,65,INTERMEDIATE,cte,4,True,469271,0,False,api
